Date,Price,Open,High,Low,Vol.,Change %
22-Feb-21,13.9262,15.6631,15.7131,11.3655,193.25M,-11.08%
21-Feb-21,15.6619,15.0939,16.3597,14.8167,150.15M,3.77%
20-Feb-21,15.0931,15.4013,17.4881,14.3467,208.98M,-2.05%
19-Feb-21,15.4089,14.9565,15.8784,14.2623,136.34M,3.04%
18-Feb-21,14.9544,15.3195,15.7795,14.6279,155.98M,-2.34%
17-Feb-21,15.3127,14.4091,15.7841,13.6794,176.85M,6.22%
16-Feb-21,14.4158,14.6697,15.5108,13.7159,188.89M,-1.74%
15-Feb-21,14.6712,16.0866,16.5908,13.0234,235.11M,-8.80%
14-Feb-21,16.0866,16.6213,17.6341,15.5565,256.35M,-3.22%
13-Feb-21,16.6217,11.9223,17.9601,11.72,184.97M,39.48%
12-Feb-21,11.917,11.7153,12.3035,11.1108,124.93M,1.76%
11-Feb-21,11.7109,10.3736,11.7731,10.3224,136.65M,12.81%
10-Feb-21,10.3811,9.5774,11.4584,9.5774,146.23M,8.45%
9-Feb-21,9.5724,8.6917,9.9995,8.6372,106.74M,10.13%
8-Feb-21,8.6917,8.2788,8.7674,8.1177,81.69M,5.00%
7-Feb-21,8.2779,8.7711,8.8688,7.8521,92.68M,-5.60%
6-Feb-21,8.769,8.5193,9.1004,8.2132,97.29M,2.84%
5-Feb-21,8.5268,7.6842,8.8917,7.6622,88.43M,10.97%
4-Feb-21,7.6842,7.9389,8.093,7.5912,71.46M,-3.18%
3-Feb-21,7.9367,7.7859,7.9367,7.6497,68.60M,1.98%
2-Feb-21,7.7827,7.5274,7.9274,7.4565,70.42M,3.39%
1-Feb-21,7.5279,7.4145,7.6614,7.2515,73.48M,1.54%
31-Jan-21,7.4136,7.5835,7.7097,7.1982,73.00M,-2.22%
30-Jan-21,7.5821,7.6079,7.8206,7.3168,75.57M,-0.41%
29-Jan-21,7.6133,7.6517,8.0456,7.3922,86.12M,-0.46%
28-Jan-21,7.6486,6.8707,8.4856,6.7653,83.78M,11.23%
27-Jan-21,6.8767,7.4313,7.4388,6.6465,75.29M,-7.46%
26-Jan-21,7.4313,7.5019,7.6062,7.0835,71.98M,-0.90%
25-Jan-21,7.4985,7.6279,7.9739,7.3754,80.55M,-1.69%
24-Jan-21,7.6274,7.4466,7.8133,7.3799,74.78M,2.43%
23-Jan-21,7.4463,7.4283,7.5929,7.2244,83.00M,0.10%
22-Jan-21,7.4389,7.1297,7.5104,6.6707,138.62M,4.39%
21-Jan-21,7.1263,7.9038,8.1897,7.019,159.30M,-9.83%
20-Jan-21,7.9032,7.8155,8.0441,7.4023,150.57M,1.15%
